Cppp,135,55
Daa,162,48
Dap,162,38
Dpa,162,47
Dpp,162,38
ABalaaaa,133,39
ABalaaap,133,39
ABalaapa,133,39
ABalaapp,133,39
ABalapaa,133,39
ABalapap,133,39
ABalappa,133,39
ABalappp,133,39
ABalpaaa,133,39
ABalpaap,133,39
ABalpapa,133,39
ABalpapp,133,39
ABalppaa,133,39
ABalppap,133,39
ABalpppa,133,39
ABalpppp,133,39
ABaraaaa,133,39
ABaraaap,133,39
ABaraapa,133,39
ABaraapp,133,39
ABarapaa,133,39
ABarapap,133,39
ABarappa,133,39
ABarappp,133,39
ABarpaaa,133,39
ABarpaap,133,39
ABarpapa,133,39
ABarpapp,133,39
ABarppaa,133,39
ABarppap,133,39
ABarpppa,133,39
ABarpppp,133,39
ABplaaaa,133,39
ABplaaap,133,39
ABplaapa,133,39
ABplaapp,133,39
ABplapaa,133,39
ABplapap,133,39
ABplappa,133,39
ABplappp,133,39
ABplpaaa,133,39
ABplpaap,133,39
ABplpapa,133,39
ABplpapp,133,39
ABplppaa,133,39
ABplppap,133,39
ABplpppa,133,39
ABplpppp,133,39
ABpraaaa,133,39
ABpraaap,133,39
ABpraapa,133,39
ABpraapp,133,39
ABprapaa,133,39
ABprapap,133,39
ABprappa,133,39
ABprappp,133,39
ABprpaaa,133,39
ABprpaap,133,39
ABprpapa,133,39
ABprpapp,133,39
ABprppaa,133,39
ABprppap,133,39
ABprpppa,133,39
ABprpppp,133,39
MSaaaa,146,37
MSaaap,146,44
MSaapa,146,36
MSaapp,146,49
MSapaa,150,40
MSapap,150,40
MSappa,150,45
MSappp,150,48
MSpaaa,146,36
MSpaap,146,44
MSpapa,146,36
MSpapp,146,47
MSppaa,150,40
MSppap,150,30
MSpppa,150,45
MSpppp,150,45
Ealaa,236,124
Ealap,236,314
Ealpa,236,1
Ealpp,236,314
Earaa,236,124
Earap,236,314
Earpa,236,1
Earpp,236,314
Eplaa,235,315
Eplap,235,315
Eplpa,245,305
Eplpp,245,125
Epraa,235,315
Eprap,235,315
Eprpa,245,305
Eprpp,245,125
Caaaa,163,52
Caaap,163,57
Caapa,182,148
Caapp,182,53
Capaa,190,55
Capap,190,55
Cappa,197,43
Cappp,197,43
Cpaaa,170,50
Cpaap,170,48
Cpapa,180,50
Cpapp,180,55
Cppaa,190,55
Cppap,190,60
Cpppa,190,50
Cpppp,190,50
Daaa,210,65
Daap,210,65
Dapa,200,70
Dapp,200,60
Dpaa,209,64
Dpap,209,66
Dppa,200,65
Dppp,200,60
